CUSTGROUP,customer_name,Month,Year,Qty,Sales
PH-CHAIN,CUST-30001,Jan,2023,3270,197683
PH-CHAIN,CUST-40001,Jan,2023,4302,153329
PH-CHAIN,CUST-50000,Jan,2023,1003,43838
PH-RETAILS,CUST-60000,Jan,2023,307,36173
PH-RETAILS,CUST-70001,Jan,2023,599,18974
CLINIC-SP,CUST-80000,Jan,2023,61,6272
PH-RETAILS,CUST-90001,Jan,2023,103,9135
OTHERS,CUST-100001,Jan,2023,11,1614
CLINIC-GP,CUST-110001,Jan,2023,46,4186
GROUP-GP,CUST-120000,Jan,2023,40,6004
CLINIC-SP,CUST-130000,Jan,2023,116,9732
HOSP-PTE,CUST-140001,Jan,2023,94,5935
HOSP-PTE,CUST-150001,Jan,2023,101,5550
CLINIC-SP,CUST-160000,Jan,2023,16,7746
CLINIC-SP,CUST-170001,Jan,2023,63,3366
CLINIC-GP,CUST-180000,Jan,2023,102,8605
HOSP-PTE,CUST-190001,Jan,2023,49,5577
CLINIC-SP,CUST-200001,Jan,2023,43,4084
CLINIC-SP,CUST-210000,Jan,2023,50,3554
CLINIC-GP,CUST-220001,Jan,2023,36,2662
CLINIC-SP,CUST-230001,Jan,2023,19,3073
CLINIC-SP,CUST-240001,Jan,2023,33,2179
CLINIC-SP,CUST-250000,Jan,2023,25,3562
HOSP-PTE,CUST-260000,Jan,2023,83,3822
CLINIC-SP,CUST-270001,Jan,2023,9,1521
CLINIC-GP,CUST-280001,Jan,2023,39,2362
OTHERS,CUST-290001,Jan,2023,28,566
SUPERMARKET,CUST-300000,Jan,2023,6,678
PH-RETAILS,CUST-310001,Jan,2023,74,4380
HOSP-PTE,CUST-320001,Jan,2023,22,2409
CLINIC-GP,CUST-330000,Jan,2023,64,3555
CLINIC-GP,CUST-340001,Jan,2023,44,3291
PH-RETAILS,CUST-350000,Jan,2023,143,3909
CLINIC-SP,CUST-360001,Jan,2023,33,2553
CLINIC-GP,CUST-370001,Jan,2023,47,3834
OTHERS,CUST-380000,Jan,2023,0,0
