item_id,Month,Year,Qty,Sales
SKU-30000,Jan,2023,567,23968
SKU-40000,Jan,2023,62,11584
SKU-50000,Jan,2023,286,18717
SKU-60000,Jan,2023,1559,13014
SKU-70001,Jan,2023,1589,12962
SKU-80000,Jan,2023,263,14205
SKU-90000,Jan,2023,16,9393
SKU-100000,Jan,2023,1510,11615
SKU-110000,Jan,2023,117,8619
SKU-120001,Jan,2023,98,13525
SKU-130000,Jan,2023,55,7328
SKU-140000,Jan,2023,222,9568
SKU-150001,Jan,2023,109,8608
SKU-160001,Jan,2023,0,0
SKU-170000,Jan,2023,183,10479
SKU-180001,Jan,2023,110,8290
SKU-190000,Jan,2023,37,5776
SKU-200000,Jan,2023,95,4551
SKU-210001,Jan,2023,48,3508
SKU-220000,Jan,2023,688,5084
SKU-230001,Jan,2023,10,1860
SKU-240001,Jan,2023,191,5479
SKU-250001,Jan,2023,299,6857
SKU-260001,Jan,2023,577,4630
SKU-270001,Jan,2023,572,5405
SKU-280000,Jan,2023,59,4965
SKU-290000,Jan,2023,121,5942
SKU-300000,Jan,2023,25,2188
SKU-310000,Jan,2023,61,4988
SKU-320000,Jan,2023,153,2666
SKU-330001,Jan,2023,0,0
SKU-340001,Jan,2023,69,4270
SKU-350001,Jan,2023,7,1830
SKU-360000,Jan,2023,48,5860
SKU-370000,Jan,2023,48,3451
SKU-380000,Jan,2023,389,6154
SKU-390001,Jan,2023,137,4779
SKU-400001,Jan,2023,14,1656
SKU-410001,Jan,2023,155,3814
SKU-420001,Jan,2023,157,4364
SKU-430001,Jan,2023,61,4200
SKU-440001,Jan,2023,63,4045
SKU-450001,Jan,2023,177,4186
SKU-460000,Jan,2023,53,5781
SKU-470001,Jan,2023,102,4080
SKU-480001,Jan,2023,27,4571
SKU-490000,Jan,2023,0,0
SKU-500000,Jan,2023,23,3670
SKU-510000,Jan,2023,113,4285
SKU-520001,Jan,2023,199,3561
SKU-530000,Jan,2023,29,4854
SKU-540001,Jan,2023,232,4156
SKU-550000,Jan,2023,22,3877
SKU-560001,Jan,2023,14,2462
SKU-570000,Jan,2023,47,3192
SKU-580000,Jan,2023,34,3861
SKU-590000,Jan,2023,32,2564
SKU-600001,Jan,2023,243,5208
SKU-610001,Jan,2023,108,4101
SKU-620001,Jan,2023,22,4037
SKU-630000,Jan,2023,104,3611
SKU-640001,Jan,2023,18,2771
SKU-650001,Jan,2023,293,3436
SKU-660001,Jan,2023,83,3164
